ano;idade;genero;inde_22;inde_23;inde_24;iaa;ieg;ips;ida;ipv;ian;ipp;fase_ideal;defasagem;risco
2022;14;0;5.15;;;0.0;6.4;5.6;3.6;6.71;5.0;;4;-1;1
2022;12;0;6.93;;;10.0;7.3;5.6;4.8;6.12;10.0;;3;0;0
2022;16;1;4.18;;;8.8;2.9;7.5;0.9;4.62;2.5;;6;-3;1
2022;13;0;7.44;;;10.0;8.2;7.5;5.0;6.46;10.0;;3;0;0
2022;14;0;6.76;;;8.8;7.2;5.6;5.8;7.04;5.0;;4;-1;1
2022;15;1;4.79;;;0.0;5.8;5.6;3.4;5.62;5.0;;5;-2;1
2022;15;0;5.32;;;5.8;5.6;7.5;3.7;4.42;5.0;;5;-2;1
2022;15;0;7.09;;;10.0;9.2;5.6;5.8;6.62;5.0;;5;-2;1
2022;13;1;7.93;;;8.3;7.7;7.5;6.9;7.92;10.0;;3;0;0
2022;16;0;5.99;;;7.5;5.8;5.6;6.0;6.58;2.5;;6;-3;1
2022;15;0;6.01;;;10.0;7.4;5.0;3.3;6.29;5.0;;5;-2;1
2022;14;0;6.7;;;9.2;6.7;6.3;5.7;7.21;5.0;;4;-1;1
2022;13;1;8.23;;;9.2;8.6;6.3;8.9;7.25;10.0;;3;0;0
2022;13;0;8.23;;;8.3;8.4;6.9;7.9;8.12;10.0;;3;0;0
2022;15;0;7.26;;;9.2;8.5;5.6;7.1;6.96;5.0;;5;-2;1
2022;14;1;6.36;;;9.2;5.7;7.5;5.1;6.42;5.0;;4;-1;1
2022;14;0;5.68;;;9.2;5.3;7.5;3.0;5.83;5.0;;4;-1;1
2022;11;0;7.95;;;7.9;8.3;7.5;8.1;7.0;10.0;;2;1;0
2022;15;1;6.66;;;9.6;6.9;7.5;4.6;6.67;5.0;;5;-2;1
2022;14;0;5.53;;;7.1;5.7;5.6;4.3;5.12;5.0;;4;-1;1
2022;14;1;7.41;;;7.1;8.8;7.5;7.4;7.21;5.0;;4;-1;1
2022;12;1;7.74;;;8.8;9.2;5.6;6.0;7.42;10.0;;3;0;0
2022;13;1;8.82;;;9.2;9.9;6.3;9.1;8.21;10.0;;3;0;0
2022;13;0;8.05;;;7.5;9.2;7.5;7.1;7.33;10.0;;3;0;0
2022;13;0;6.81;;;6.7;6.9;7.5;5.9;5.62;10.0;;3;0;0
2022;13;0;6.62;;;8.8;6.8;7.5;4.0;5.62;10.0;;3;0;0
2022;14;1;7.13;;;9.6;8.8;7.5;5.6;6.62;5.0;;4;-1;1
2022;13;1;5.94;;;6.7;5.1;5.6;3.8;5.96;10.0;;3;0;0
2022;16;0;5.06;;;9.2;4.1;7.5;2.8;5.75;2.5;;6;-3;1
2022;15;0;5.42;;;7.1;5.8;6.3;3.0;5.62;5.0;;5;-2;1
2022;17;0;3.7;;;7.9;3.4;5.0;1.1;4.29;2.5;;7;-4;1
2022;16;0;4.1;;;0.0;5.6;6.3;0.0;6.83;2.5;;6;-3;1
2022;14;0;6.24;;;0.0;7.8;6.3;6.8;7.25;5.0;;4;-1;1
2022;17;0;4.93;;;10.0;3.9;6.3;1.7;6.04;2.5;;7;-4;1
2022;13;1;8.12;;;8.3;8.2;6.9;8.0;7.79;10.0;;3;0;0
2022;16;1;4.84;;;7.9;3.7;7.5;1.8;6.29;2.5;;6;-3;1
2022;13;1;4.88;;;8.8;2.9;7.5;2.3;3.33;10.0;;3;0;0
2022;18;0;5.03;;;9.6;5.8;7.5;0.0;5.92;2.5;;8;-5;1
2022;14;0;7.3;;;7.9;8.0;7.5;6.9;7.38;5.0;;4;-1;1
2022;15;0;4.66;;;8.8;3.6;7.5;2.8;3.83;5.0;;5;-2;1
2022;13;0;7.48;;;7.1;7.9;6.3;6.6;7.42;10.0;;3;0;0
2022;13;1;6.41;;;9.2;6.3;5.6;5.2;5.42;10.0;;3;0;0
2022;13;0;7.28;;;7.1;8.2;5.0;6.8;6.71;10.0;;3;0;0
2022;14;1;5.56;;;5.4;6.9;6.3;3.1;5.88;5.0;;4;-1;1
2022;13;0;6.8;;;8.8;5.8;5.6;6.3;6.04;10.0;;3;0;0
2022;16;1;6.33;;;9.2;7.7;6.9;4.8;6.21;2.5;;6;-3;1
2022;14;1;6.03;;;7.5;7.2;7.5;3.9;5.38;5.0;;4;-1;1
2022;15;1;6.36;;;8.8;7.7;7.5;4.3;5.54;5.0;;5;-2;1
